ProviderType,DFTA ID,ProgramName,SponsorName,ProgramAddress,ProgramCity,ProgramState,Postcode,Borough,ProgramPhone,DFTA Funded,MonHourOpen,MonHourClose,TueHourOpen,TueHourClose,WedHourOpen,WedHourClose,ThuHourOpen,ThuHourClose,FriHourOpen,FriHourClose,SatHourOpen,SatHourClose,SunHourOpen,SunHourClose,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,FullAddress,CensusTract_Fetched
HOME DELIVERED MEAL SERVICE CONTRACTS,28E02,RISEBORO HDM - BROOKLYN 2 (28E),RISEBORO COMMUNITY PARTNERSHIP INC,80 Seigel Street,BROOKLYN,NY,11206,BROOKLYN,718-416-4599,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.704366,-73.943775,301.0,34.0,491.0,3071447.0,3030960030.0,East Williamsburg,POINT (-73.943775 40.704366),"80 Seigel Street, BROOKLYN, NY 11206",049100
HOME DELIVERED MEAL SERVICE CONTRACTS,42N01,CCNS HDM - QUEENS 1 (42N),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,89-18 Astoria Boulevard,FLUSHING,NY,11369,QUEENS,718-806-1080,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.763727,-73.87957,403.0,22.0,329.0,4032388.0,4013630011.0,Jackson Heights,POINT (-73.87957 40.763727),"89-18 Astoria Boulevard, FLUSHING, NY 11369",032900
HOME DELIVERED MEAL SERVICE CONTRACTS,24E02,JASA BROOKLYN HOME DELIVERED MEALS - BROOKLYN 7 (24E),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,1201 PENNSYLVANIA AVENUE,BROOKLYN,NY,11239,BROOKLYN,718-727-443,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.651173,-73.885082,305.0,42.0,105801.0,3336175.0,3044350001.0,Starrett City,POINT (-73.885082 40.651173),"1201 PENNSYLVANIA AVENUE, BROOKLYN, NY 11239",105801
HOME DELIVERED MEAL SERVICE CONTRACTS,28E04,RISEBORO HDM - BROOKLYN 4 (28E),RISEBORO COMMUNITY PARTNERSHIP INC,80 Seigel Street,BROOKLYN,NY,11206,BROOKLYN,718-416-4599,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.704366,-73.943775,301.0,34.0,491.0,3071447.0,3030960030.0,East Williamsburg,POINT (-73.943775 40.704366),"80 Seigel Street, BROOKLYN, NY 11206",049100
HOME DELIVERED MEAL SERVICE CONTRACTS,29H01,RISEBORO HOME DELIVERED MEALS - BROOKLYN 1 (29H),RISEBORO COMMUNITY PARTNERSHIP INC,80 Seigel Street,BROOKLYN,NY,11206,BROOKLYN,718-416-4554,Y,,,,,,,,,,,,,,,40.704366,-73.943775,301.0,34.0,491.0,3071447.0,3030960030.0,East Williamsburg,POINT (-73.943775 40.704366),"80 Seigel Street, BROOKLYN, NY 11206",049100
OLDER ADULT CENTER CONTRACTS,C4101,HENRY STREET OAC - GOOD COMPANIONS (C41),HENRY STREET SETTLEMENT,334 Madison Street,NEW YORK,NY,10002,MANHATTAN,212-349-2770,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.713266,-73.983237,103.0,2.0,202.0,1077526.0,1002600001.0,Lower East Side,POINT (-73.983237 40.713266),"334 Madison Street, NEW YORK, NY 10002",000202
OLDER ADULT CENTER CONTRACTS,C6502,SAMUEL FIELD Y BAY TERRACE OLDER ADULT CENTER (C65),COMMONPOINT QUEENS,21200 23rd Avenue,FLUSHING,NY,11360,QUEENS,718-225-4253,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.781448,-73.778109,407.0,19.0,99704.0,4132408.0,4059000050.0,Ft. Totten-Bay Terrace-Clearview,POINT (-73.778109 40.781448),"21200 23rd Avenue, FLUSHING, NY 11360",099704
OLDER ADULT CENTER CONTRACTS,C6501,SAM FIELD OLDER ADULT CENTER (C65),COMMONPOINT QUEENS,58-20 Little Neck Pkwy,FLUSHING,NY,11362,QUEENS,718-225-6750,Y,9:00,4:00,9:00,4:00,9:00,4:00,9:00,4:00,9:00,4:00,0:00,0:00,0:00,0:00,40.761577,-73.723122,411.0,23.0,152902.0,4173029.0,4083520051.0,Douglas Manor-Douglaston-Little Neck,POINT (-73.723122 40.761577),"58-20 Little Neck Pkwy, FLUSHING, NY 11362",152902
TRANSPORTATION SERVICES CONTRACTS,30902,ARC XVI - TRAN GROUP RIDES - MN NORTH (309),ARC XVI FORT WASHINGTON INC,108 WEST  146 STREET,NEW YORK,NY,10039,MANHATTAN,212-281-1349,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.821341,-73.936317,110.0,9.0,232.0,1060189.0,1020140036.0,Central Harlem North-Polo Grounds,POINT (-73.936317 40.821341),"108 WEST  146 STREET, NEW YORK, NY 10039",023200
OLDER ADULT CENTER CONTRACTS,C9004,WAYSIDE OUT LANGSTON HUGHES SOCIAL CLUB (C90),WAYSIDE OUT-REACH DEVELOPMENT INC,301 Sutter Avenue,BROOKLYN,NY,11212,BROOKLYN,917-962-8277,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.667312,-73.909072,316.0,41.0,906.0,3348344.0,3035260021.0,Brownsville,POINT (-73.909072 40.667312),"301 Sutter Avenue, BROOKLYN, NY 11212",090600
OLDER ADULT CENTER CONTRACTS,C4704,JCCGCI KINGS HIGHWAY OLDER ADULT CENTER (C47),JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,1879 East 3rd Street,BROOKLYN,NY,11223,BROOKLYN,917-596-0761,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.604098,-73.969944,315.0,47.0,41402.0,3178594.0,3066810225.0,Homecrest,POINT (-73.969944 40.604098),"1879 East 3rd Street, BROOKLYN, NY 11223",041402
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6204,SELFHELP FRESH MEADOWS NORC (N62),SELFHELP COMMUNITY SERVICES INC,67-00 192ND STREET,FLUSHING,NY,11365,QUEENS,718-559-4330,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.737813,-73.781534,408.0,23.0,1347.0,4444040.0,4071170003.0,Fresh Meadows-Utopia,POINT (-73.781534 40.737813),"67-00 192ND STREET, FLUSHING, NY 11365",134701
GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,SAMUEL FIELD GMH QN (4G8),COMMONPOINT QUEENS,58-20 LITTLE NECK PARKWAY,FLUSHING,NY,11362,QUEENS,718-225-6750,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.761577,-73.723122,411.0,23.0,152902.0,4173029.0,4083520051.0,Douglas Manor-Douglaston-Little Neck,POINT (-73.723122 40.761577),"58-20 LITTLE NECK PARKWAY, FLUSHING, NY 11362",152902
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6201,SELFHELP BOULEVARD GARDENS NORC (N62),SELFHELP COMMUNITY SERVICES INC,51-42 30th AVENUE,FLUSHING,NY,11377,QUEENS,646-648-3202,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.759516,-73.904993,401.0,22.0,295.0,4431254.0,4011110001.0,Woodside,POINT (-73.904993 40.759516),"51-42 30th AVENUE, FLUSHING, NY 11377",029500
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5101,CENTER LIGHT PARKCHESTER ENHANCED NORC (N51),CENTERLIGHT HEALTH SYSTEM INC.,1525 Unionport Road,BRONX,NY,10462,BRONX,718-409-1619,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.836585,-73.856898,209.0,18.0,212.0,2096653.0,2039387501.0,Parkchester,POINT (-73.856898 40.836585),"1525 Unionport Road, BRONX, NY 10462",021200
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6901,NEIGHBORHOOD SHOPP NORC -LAFAYETTE ESTATES (N69),THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,953 SOUTHERN BLVD,BRONX,NY,10459,BRONX,718-542-0006,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.82084,-73.872649,209.0,17.0,28.0,2092725.0,2036270030.0,Soundview-Castle Hill-Clason Point-Harding Park,POINT (-73.872649 40.82084),"953 SOUTHERN BLVD, BRONX, NY 10459",015900
OLDER ADULT CENTER CONTRACTS,W1202,BAY RIDGE CTR FOR HEALTH AND WELLNESS (W12),BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER,15 Bay Ridge Avenue,BROOKLYN,NY,11209,BROOKLYN,718-748-0650,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.638645,-74.035376,310.0,47.0,34.0,3144947.0,3058590060.0,Bay Ridge,POINT (-74.035376 40.638645),"15 Bay Ridge Avenue, BROOKLYN, NY 11209",003400
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5401,HANAC QUEENSVIEW NORC (N54),HANAC INC.,33-34 Crescent Street,LONG ISLAND CITY,NY,11106,QUEENS,718-433-9045,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.762105,-73.929717,401.0,22.0,45.0,4430862.0,4005570003.0,Astoria,POINT (-73.929717 40.762105),"33-34 Crescent Street, LONG ISLAND CITY, NY 11106",004500
OLDER ADULT CENTER CONTRACTS,C9302,YOUNG AT HEART SENIOR CENTER AT THE FLATBUSH YMCA (C93),YMCA OF GREATER NEW YORK,1401 Flatbush Avenue,BROOKLYN,NY,11210,BROOKLYN,212-630-9645,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.636511,-73.951539,314.0,45.0,788.0,3120877.0,3052280008.0,Flatbush,POINT (-73.951539 40.636511),"1401 Flatbush Avenue, BROOKLYN, NY 11210",078801
OLDER ADULT CENTER CONTRACTS,C9402,YOUNG ISRAEL PROGRAMS MIDWOOD (C94),YOUNG ISRAEL PROGRAMS INC,1694 Ocean Avenue,BROOKLYN,NY,11230,BROOKLYN,718-253-7800,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.620447,-73.955405,314.0,44.0,538.0,3180733.0,3067390044.0,Midwood,POINT (-73.955405 40.620447),"1694 Ocean Avenue, BROOKLYN, NY 11230",053800
OLDER ADULT CENTER CONTRACTS,C9701,NEW BEGINNINGS (RIVERDALE Y) (C97),YM YWHA OF THE BRONX dba RIVERDALE YM YWHA,5625 Arlington Avenue,BRONX,NY,10471,BRONX,718-548-8200,Y,8:00,5:00,8:00,5:00,8:00,5:00,8:00,5:00,8:00,5:00,0:00,0:00,0:00,0:00,40.905009,-73.907133,208.0,11.0,323.0,2086312.0,2059520374.0,North Riverdale-Fieldston-Riverdale,POINT (-73.907133 40.905009),"5625 Arlington Avenue, BRONX, NY 10471",032300
HOME DELIVERED MEAL SERVICE CONTRACTS,11Y02,RAIN HOME DELIVERED MEALS - BRONX 3 (11Y),REGIONAL AID FOR INTERIM NEEDS INC,3450 Boston Road,BRONX,NY,10469,BRONX,718-829-2131,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.876304,-73.848594,212.0,12.0,364.0,2060739.0,2047370105.0,Eastchester-Edenwald-Baychester,POINT (-73.848594 40.876304),"3450 Boston Road, BRONX, NY 10469",036400
OLDER ADULT CENTER CONTRACTS,C8303,JASA SUE GINSBURG (C83),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,975 Waring Avenue,BRONX,NY,10469,BRONX,718-881-1758,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.861214,-73.859738,211.0,13.0,324.0,2093415.0,2044440001.0,Bronxdale,POINT (-73.859738 40.861214),"975 Waring Avenue, BRONX, NY 10469",032400
HOME DELIVERED MEAL SERVICE CONTRACTS,11Y01,RAIN HOME DELIVERED MEALS - BRONX 2 (11Y),REGIONAL AID FOR INTERIM NEEDS INC,3450 Boston Road,BRONX,NY,10469,BRONX,718-829-2131,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.876304,-73.848594,212.0,12.0,364.0,2060739.0,2047370105.0,Eastchester-Edenwald-Baychester,POINT (-73.848594 40.876304),"3450 Boston Road, BRONX, NY 10469",036400
OLDER ADULT CENTER CONTRACTS,W1702,AVIS SOUTH SHORE OAC (W17),JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,1297 Arthur Kill Road,STATEN ISLAND,NY,10312,STATEN ISLAND,718-475-5283,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.565339,-74.183774,503.0,51.0,228.0,5077603.0,5059000105.0,New Springville-Bloomfield-Travis,POINT (-74.183774 40.565339),"1297 Arthur Kill Road, STATEN ISLAND, NY 10312",022801
OLDER ADULT CENTER CONTRACTS,C9901,JACKIE ROBINSON OLDER ADULT CENTER (C99),CHARLES A WALBURG MULTI SERVICE ORGANIZATION INC,1301 Amsterdam Avenue,NEW YORK,NY,10027,MANHATTAN,212-222-2552,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.811994,-73.957264,109.0,7.0,20901.0,1084095.0,1019640001.0,Morningside Heights,POINT (-73.957264 40.811994),"1301 Amsterdam Avenue, NEW YORK, NY 10027",020901
OLDER ADULT CENTER CONTRACTS,4N101,NNORC WOW (4N1),COMMONPOINT QUEENS,58-20 Little Neck Parkway,FLUSHING,NY,11362,QUEENS,718-225-6750,Y,,,,,,,,,,,,,,,40.761577,-73.723122,411.0,23.0,152902.0,4173029.0,4083520051.0,Douglas Manor-Douglaston-Little Neck,POINT (-73.723122 40.761577),"58-20 Little Neck Parkway, FLUSHING, NY 11362",152902
HOMECARE SERVICES CONTRACTS,1HR01,PERSONAL TOUCH - HOME CARE - BX (1HR),PERSONAL-TOUCH HOME CARE OF N.Y. INC.,36-36 33rd Street,LONG ISLAND CITY,NY,11106,QUEENS,718-468-2500,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.755141,-73.928728,401.0,26.0,55.0,4007923.0,4006010001.0,Queensbridge-Ravenswood-Long Island City,POINT (-73.928728 40.755141),"36-36 33rd Street, LONG ISLAND CITY, NY 11106",005500
OLDER ADULT CENTER CONTRACTS,C0804,BERGEN BASIN MIDWOOD OLDER ADULT CENTER (C08),BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,2164 Ralph Avenue,BROOKLYN,NY,11234,BROOKLYN,718-253-5557,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.625065,-73.917858,318.0,46.0,692.0,3218178.0,3078390001.0,Flatlands,POINT (-73.917858 40.625065),"2164 Ralph Avenue, BROOKLYN, NY 11234",069200
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6803,JASA CONEY ISLAND ACTIVE AGING NORC (N68),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2950 WEST 35TH STREET,BROOKLYN,NY,11224,BROOKLYN,718-943-7812,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.573838,-74.000493,313.0,47.0,342.0,3189511.0,3070460022.0,Seagate-Coney Island,POINT (-74.000493 40.573838),"2950 WEST 35TH STREET, BROOKLYN, NY 11224",034200
OLDER ADULT CENTER CONTRACTS,C1201,BCA BENSONHURST OLDER ADULT CENTER (C12),BROOKLYN CHINESE-AMERICAN ASSOCIATION INC,6409 20th Avenue,BROOKLYN,NY,11204,BROOKLYN,718-331-3088,Y,8:30,4:30,8:30,4:30,8:30,4:30,8:30,4:30,8:30,4:30,0:00,0:00,0:00,0:00,40.616996,-73.985354,311.0,43.0,254.0,3133622.0,3055490005.0,Bensonhurst West,POINT (-73.985354 40.616996),"6409 20th Avenue, BROOKLYN, NY 11204",025400
OLDER ADULT CENTER CONTRACTS,C0503,ARC XVI FORT WASHINGTON OAC (C05),ARC XVI FORT WASHINGTON INC,516 W 181th Street,NEW YORK,NY,10033,MANHATTAN,212-781-5700,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.848436,-73.93165,112.0,10.0,269.0,1063614.0,1021520067.0,Washington Heights North,POINT (-73.93165 40.848436),"516 W 181th Street, NEW YORK, NY 10033",026900
OLDER ADULT CENTER CONTRACTS,C8301,JASA HES OLDER ADULT CENTER (C83),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,9502 Seaview Avenue,BROOKLYN,NY,11236,BROOKLYN,718-251-3700,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.632808,-73.89122,318.0,46.0,1028.0,3235056.0,3083180008.0,Canarsie,POINT (-73.89122 40.632808),"9502 Seaview Avenue, BROOKLYN, NY 11236",102801
OLDER ADULT CENTER CONTRACTS,C8307,JASA SENIOR ALLIANCE OLDER ADULT CENTER (C83),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,161 Corbin Place,BROOKLYN,NY,11235,BROOKLYN,718-646-4100,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.578026,-73.954127,315.0,48.0,61004.0,3245719.0,3087190073.0,Brighton Beach,POINT (-73.954127 40.578026),"161 Corbin Place, BROOKLYN, NY 11235",061004
OLDER ADULT CENTER CONTRACTS,C3514,HAZEL BROOKS OAC (C35),FORT GREENE COUNCIL,961 Ocean Avenue,BROOKLYN,NY,11226,BROOKLYN,347-435-3287,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.638891,-73.958877,314.0,40.0,51601.0,3120264.0,3052060062.0,Flatbush,POINT (-73.958877 40.638891),"961 Ocean Avenue, BROOKLYN, NY 11226",051601
OLDER ADULT CENTER CONTRACTS,C3303,FIND AID HAMILTON OAC (C33),FIND AID FOR THE AGED,141 W 73rd Street,NEW YORK,NY,10023,MANHATTAN,212-787-7710,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,9:00,5:00,40.778624,-73.979527,107.0,6.0,157.0,1030011.0,1011450012.0,Lincoln Square,POINT (-73.979527 40.778624),"141 W 73rd Street, NEW YORK, NY 10023",015700
OLDER ADULT CENTER CONTRACTS,C0201,ALLEN AME THEODORA JACKSON CENTER (C02),ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER,92-47 165th Street,JAMAICA,NY,11433,QUEENS,929-357-9552,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.704393,-73.794058,412.0,27.0,444.0,4216225.0,4101550029.0,Jamaica,POINT (-73.794058 40.704393),"92-47 165th Street, JAMAICA, NY 11433",044400
OLDER ADULT CENTER CONTRACTS,C3503,SETH LOW SOCIAL CLUB (C35),FORT GREENE COUNCIL,137 Belmont Avenue,BROOKLYN,NY,11212,BROOKLYN,718-485-4991,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.669205,-73.905172,316.0,41.0,908.0,3327015.0,3037270001.0,Brownsville,POINT (-73.905172 40.669205),"137 Belmont Avenue, BROOKLYN, NY 11212",090800
TRANSPORTATION SERVICES CONTRACTS,61401,SENTRY- TRAN INDIVIDUAL RIDES - CITYWIDE (614),Fejost LLC,90 Lincoln Avenue,BRONX,NY,10454,BRONX,917-259-7735,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.807309,-73.929824,201.0,8.0,19.0,2000682.0,2023080001.0,Mott Haven-Port Morris,POINT (-73.929824 40.807309),"90 Lincoln Avenue, BRONX, NY 10454",001901
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N7401,AMALGAMATED PK RESEVOIR NORC (N74),YM YWHA OF THE BRONX dba RIVERDALE YM YWHA,98 VAN CORTLANDT PARK SOUTH,BRONX,NY,10463,BRONX,718-548-4990,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.905009,-73.907133,208.0,11.0,323.0,2086312.0,2059520374.0,North Riverdale-Fieldston-Riverdale,POINT (-73.907133 40.905009),"98 VAN CORTLANDT PARK SOUTH, BRONX, NY 10463",028100
OLDER ADULT CENTER CONTRACTS,C4401,INDIA HOME DESI SENIOR CENTER (C44),INDIA HOME INC,85-37 168 Street,JAMAICA,NY,11432,QUEENS,917-825-1559,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.713247,-73.796339,408.0,24.0,454.0,4210720.0,4098510017.0,Briarwood-Jamaica Hills,POINT (-73.796339 40.713247),"85-37 168 Street, JAMAICA, NY 11432",045400
